internship_id,company_name,sector,location,state,required_skills,qualification_required,capacity,stipend,duration_months
I0040,Godrej Agrovet,Agriculture,Guwahati,Assam,"data-analysis,python",B.Com,21,5000,11
I0041,Aakash Institute,Education,Kolkata,West Bengal,"research,teaching,finance",BBA,15,5000,12
I0042,Nuziveedu Seeds,Agriculture,Bangalore,Karnataka,"problem-solving,leadership",MBA,16,5000,10
I0043,NHPC,Energy,Mumbai,Maharashtra,"civil,mechanical,data-analysis,electrical",B.Tech,16,5000,10
I0044,Crompton Greaves,Manufacturing,Noida,Uttar Pradesh,"project-management,civil,sql",MCA,19,5000,12
I0045,ABB India,Manufacturing,Puducherry,Puducherry,"supply-chain,communication,teamwork,teaching,finance",BBA,14,5000,12
I0046,GE Healthcare India,Healthcare,Bangalore,Karnataka,"excel,problem-solving",BA,25,5000,12
I0047,L&T Technology Services,IT,Indore,Madhya Pradesh,"c++,javascript,teamwork,research,critical-thinking",B.Com,14,5000,11
I0048,Tech Mahindra,IT,Delhi,Delhi,"java,machine-learning,mechanical,leadership",BSc,16,5000,11
I0049,Zerodha,Finance,Jodhpur,Rajasthan,"communication,critical-thinking,electrical,c++",Any,14,5000,11
I0050,JSW Steel,Manufacturing,Shimla,Himachal Pradesh,"electrical,problem-solving,hr-management,machine-learning",Any,17,5000,10
I0051,Muthoot Finance,Finance,Guwahati,Assam,"finance,leadership,accounting,project-management,data-analysis",B.Tech,9,5000,11
I0052,Crompton Greaves,Manufacturing,Gurgaon,Haryana,"leadership,teamwork,python,machine-learning",MBA,6,5000,10
I0053,BSES,Energy,Pune,Maharashtra,"project-management,civil,leadership,javascript,mechanical",Any,20,5000,10
I0054,Tech Mahindra,IT,Chennai,Tamil Nadu,"data-analysis,sql,communication,digital-marketing,c++",BA,13,5000,10
I0055,NIIT Technologies,IT,Pune,Maharashtra,"java,critical-thinking,finance,problem-solving",MBA,24,5000,11
I0056,Hero MotoCorp,Manufacturing,Jodhpur,Rajasthan,"cad,supply-chain",B.Tech,5,5000,12
I0057,Infosys,IT,Ahmedabad,Gujarat,"machine-learning,communication,accounting",B.Tech,6,5000,12
I0058,Paytm,Finance,Gurgaon,Haryana,"communication,problem-solving,teaching",BBA,23,5000,12
I0059,Hexaware,IT,Mumbai,Maharashtra,"communication,digital-marketing",B.Tech,11,5000,12
I0060,Manappuram Finance,Finance,Mumbai,Maharashtra,"data-analysis,critical-thinking",B.Tech,22,5000,12
I0061,Paytm,Finance,Shillong,Meghalaya,"finance,problem-solving,research",B.Tech,15,5000,10
I0062,NIIT Technologies,IT,Hyderabad,Telangana,"critical-thinking,healthcare",Any,22,5000,11
I0063,Edureka,Education,Jaipur,Rajasthan,"teaching,project-management,cad",MCA,12,5000,11
I0064,Edureka,Education,Bengaluru,Karnataka,"research,critical-thinking,leadership,hr-management,teamwork",B.Tech,20,5000,10
I0065,Vedantu,Education,Allahabad,Uttar Pradesh,"leadership,research,teamwork,civil,critical-thinking",B.Com,8,5000,11
I0066,Jain Irrigation,Agriculture,Pune,Maharashtra,"agriculture,data-analysis,leadership",B.Tech,17,5000,11
I0067,Tata Power Solar,Energy,Patna,Bihar,"data-analysis,mechanical,communication,agriculture,leadership",MBA,17,5000,11
I0068,Godrej & Boyce,Manufacturing,Thiruvananthapuram,Kerala,"teamwork,problem-solving,graphic-design,cad",B.Tech,11,5000,12
I0069,Freshworks,IT,Delhi,Delhi,"machine-learning,java,javascript,graphic-design,electrical",B.Tech,21,5000,12
I0070,PhonePe,Finance,Kochi,Kerala,"communication,cad",B.Com,11,5000,11
I0071,LIC,Finance,Noida,Uttar Pradesh,"critical-thinking,communication,accounting,excel,sql",B.Com,22,5000,12
I0072,Embibe,Education,Mumbai,Maharashtra,"project-management,content-writing,leadership,hr-management,cad",BBA,15,5000,10
I0073,TVS Motor,Manufacturing,Jodhpur,Rajasthan,"civil,cad,project-management,mechanical",BBA,13,5000,10
I0074,Sonata Software,IT,Shimla,Himachal Pradesh,"project-management,data-analysis,machine-learning,problem-solving,supply-chain",B.Tech,7,5000,11
I0075,TVS Motor,Manufacturing,Kolkata,West Bengal,"problem-solving,leadership",MCA,23,5000,10
I0076,Advanta Seeds,Agriculture,Jodhpur,Rajasthan,"communication,research,data-analysis,teaching",B.Com,13,5000,12
I0077,Aurobindo Pharma,Healthcare,Delhi,Delhi,"healthcare,digital-marketing",BSc,23,5000,11
I0078,Pfizer India,Healthcare,Delhi,Delhi,"problem-solving,research,c++,marketing",BA,24,5000,10
I0079,TVS Motor,Manufacturing,Imphal,Manipur,"civil,cad",B.Tech,11,5000,11
I0080,Extramarks,Education,Bangalore,Karnataka,"teamwork,hr-management",BSc,7,5000,11
I0081,Infosys,IT,Noida,Uttar Pradesh,"teamwork,machine-learning,mechanical,graphic-design",Any,8,5000,10
I0082,Mahindra & Mahindra,Manufacturing,Mumbai,Maharashtra,"teamwork,healthcare",B.Tech,18,5000,11
I0083,CESC,Energy,Ahmedabad,Gujarat,"civil,leadership,problem-solving",B.Com,17,5000,12
I0084,KPIT Technologies,IT,Kolkata,West Bengal,"java,data-analysis,communication,finance,critical-thinking",BSc,16,5000,11
I0085,Oracle India,IT,Gurgaon,Haryana,"sql,hr-management",MCA,12,5000,12
I0086,State Bank of India,Finance,Jaipur,Rajasthan,"data-analysis,problem-solving",BBA,5,5000,12
I0087,CARE Hospitals,Healthcare,Ahmedabad,Gujarat,"healthcare,research,python",B.Tech,11,5000,10
I0088,Mother Dairy,Agriculture,Kochi,Kerala,"research,javascript",B.Tech,16,5000,10
I0089,BSE,Finance,Noida,Uttar Pradesh,"sql,data-analysis,problem-solving",BSc,14,5000,12
I0090,KPIT Technologies,IT,Kohima,Nagaland,"java,electrical",MBA,5,5000,10
I0091,Tata ClassEdge,Education,Chennai,Tamil Nadu,"teaching,teamwork,leadership,communication,cad",B.Tech,7,5000,12
I0092,Bajaj Finserv,Finance,Kochi,Kerala,"finance,communication,excel,supply-chain,healthcare",BBA,11,5000,12
I0093,Sun Pharma,Healthcare,Shimla,Himachal Pradesh,"research,excel,graphic-design,electrical",B.Tech,17,5000,10
I0094,Hero MotoCorp,Manufacturing,Ahmedabad,Gujarat,"electrical,supply-chain,civil,agriculture,javascript",BA,7,5000,11
I0095,Syngenta India,Agriculture,Mumbai,Maharashtra,"research,communication,machine-learning,mechanical",B.Com,21,5000,12
I0096,NSE India,Finance,Kanpur,Uttar Pradesh,"leadership,excel,supply-chain,hr-management",BA,17,5000,10
I0097,Capgemini India,IT,Pune,Maharashtra,"c++,project-management,problem-solving,research",BBA,13,5000,10
I0098,ABB India,Manufacturing,Gurgaon,Haryana,"problem-solving,java",MBA,14,5000,12
I0099,JSW Steel,Manufacturing,Gurgaon,Haryana,"leadership,civil,mechanical,marketing,python",MBA,23,5000,11
I0100,Mphasis,IT,Faridabad,Haryana,"java,teamwork,content-writing",MBA,21,5000,11
I0101,Coromandel International,Agriculture,Kolkata,West Bengal,"research,problem-solving,data-analysis",MCA,5,5000,10
I0102,Bharat Electronics,Manufacturing,Noida,Uttar Pradesh,"electrical,mechanical,teaching,hr-management",B.Com,16,5000,10
I0103,Tata Power,Energy,Indore,Madhya Pradesh,"supply-chain,communication,research",BSc,21,5000,11
I0104,Tata Power,Energy,Kanpur,Uttar Pradesh,"communication,python",BBA,7,5000,11
I0105,IBM India,IT,Jaipur,Rajasthan,"problem-solving,machine-learning,project-management,excel,teamwork",BBA,20,5000,11
I0106,Larsen & Toubro Infotech,IT,Indore,Madhya Pradesh,"java,data-analysis,project-management",BSc,20,5000,11
I0107,Tata Capital,Finance,Jammu,Jammu and Kashmir,"communication,excel,content-writing",BBA,10,5000,11
I0108,Tata Steel,Manufacturing,Coimbatore,Tamil Nadu,"teamwork,machine-learning",MCA,5,5000,12
I0109,Hindustan Aeronautics,Manufacturing,Delhi,Delhi,"problem-solving,machine-learning",B.Tech,9,5000,12
I0110,Freshworks,IT,Ahmedabad,Gujarat,"teamwork,javascript,data-analysis,hr-management,research",B.Com,5,5000,11
I0111,Jain Irrigation,Agriculture,Indore,Madhya Pradesh,"data-analysis,problem-solving,c++,project-management",B.Tech,7,5000,12
I0112,Rallis,Agriculture,Coimbatore,Tamil Nadu,"research,data-analysis,communication,hr-management,content-writing",Any,24,5000,10
I0113,Petronet LNG,Energy,Ahmedabad,Gujarat,"leadership,research",MCA,24,5000,10
I0114,Hexaware,IT,Kochi,Kerala,"c++,cad",MBA,10,5000,10
I0115,LTIMindtree,IT,Lucknow,Uttar Pradesh,"project-management,c++",B.Tech,12,5000,12
I0116,UPL Limited,Agriculture,Hyderabad,Telangana,"agriculture,research,project-management,teaching,data-analysis",BBA,25,5000,10
I0117,Manipal Hospitals,Healthcare,Allahabad,Uttar Pradesh,"problem-solving,teamwork,supply-chain,machine-learning",BBA,13,5000,11
I0118,Hexaware,IT,Lucknow,Uttar Pradesh,"communication,javascript,accounting,teamwork",B.Tech,21,5000,12
I0119,Rallis,Agriculture,Mumbai,Maharashtra,"research,accounting",Any,24,5000,12
I0120,Wipro,IT,Varanasi,Uttar Pradesh,"critical-thinking,civil",B.Com,14,5000,10
I0121,HDFC Life,Finance,Mumbai,Maharashtra,"sql,accounting",B.Tech,21,5000,10
I0122,Hexaware,IT,Indore,Madhya Pradesh,"critical-thinking,project-management,teamwork,data-analysis,mechanical",MCA,11,5000,12
I0123,Zoho,IT,Kochi,Kerala,"project-management,javascript,c++",MBA,22,5000,10
I0124,Siemens Healthineers India,Healthcare,Bangalore,Karnataka,"problem-solving,sql",B.Tech,11,5000,12
I0125,Apollo Hospitals,Healthcare,Delhi,Delhi,"teamwork,marketing",Any,8,5000,11
I0126,Reliance Industries,Manufacturing,Indore,Madhya Pradesh,"mechanical,graphic-design",BBA,24,5000,11
I0127,NIIT Technologies,IT,Guwahati,Assam,"project-management,problem-solving,teamwork",B.Com,19,5000,12
I0128,Zydus Lifesciences,Healthcare,Hyderabad,Telangana,"excel,teamwork,mechanical,accounting",B.Tech,25,5000,12
I0129,Cyient,IT,Bangalore,Karnataka,"critical-thinking,java",B.Tech,7,5000,11
I0130,Glenmark,Healthcare,Ahmedabad,Gujarat,"healthcare,communication,cad",B.Tech,5,5000,12
I0131,Muthoot Finance,Finance,Noida,Uttar Pradesh,"excel,accounting,finance,python,teamwork",BBA,11,5000,11
I0132,Advanta Seeds,Agriculture,Coimbatore,Tamil Nadu,"supply-chain,data-analysis,machine-learning",B.Com,15,5000,10
I0133,NHPC,Energy,Prayagraj,Uttar Pradesh,"leadership,project-management,problem-solving,machine-learning,critical-thinking",B.Tech,15,5000,10
I0134,Advanta Seeds,Agriculture,Chennai,Tamil Nadu,"communication,marketing",MBA,19,5000,12
I0135,Bharat Forge,Manufacturing,Hyderabad,Telangana,"civil,machine-learning",B.Com,6,5000,11
I0136,Larsen & Toubro Infotech,IT,Bengaluru,Karnataka,"python,communication,project-management,c++,cad",BA,11,5000,12
I0137,Wipro,IT,Gurgaon,Haryana,"project-management,leadership",Any,15,5000,12
I0138,Nuziveedu Seeds,Agriculture,Pune,Maharashtra,"supply-chain,data-analysis,javascript,problem-solving",B.Tech,14,5000,10
I0139,Cyient,IT,Noida,Uttar Pradesh,"machine-learning,sql,javascript",BBA,8,5000,11
I0140,Philips Healthcare India,Healthcare,Bangalore,Karnataka,"critical-thinking,research,content-writing,teamwork",B.Com,23,5000,11
I0141,Birlasoft,IT,Guwahati,Assam,"machine-learning,graphic-design",B.Com,23,5000,10
I0142,Max Healthcare,Healthcare,Coimbatore,Tamil Nadu,"critical-thinking,research,communication,leadership,java",B.Tech,16,5000,12
I0143,Voltas,Manufacturing,Bangalore,Karnataka,"problem-solving,supply-chain,java",MBA,24,5000,11
I0144,Glenmark,Healthcare,Coimbatore,Tamil Nadu,"research,data-analysis,healthcare",MCA,14,5000,12
I0145,Zydus Lifesciences,Healthcare,Mumbai,Maharashtra,"data-analysis,teamwork,civil",Any,22,5000,10
I0146,Persistent Systems,IT,Aizawl,Mizoram,"teamwork,javascript,research,healthcare",MCA,11,5000,10
I0147,Nuziveedu Seeds,Agriculture,Guwahati,Assam,"agriculture,machine-learning",BA,25,5000,12
I0148,Freshworks,IT,Mumbai,Maharashtra,"c++,communication,problem-solving,teamwork,excel",B.Tech,20,5000,10
I0149,Torrent Power,Energy,Gurgaon,Haryana,"project-management,healthcare",B.Tech,22,5000,12
I0150,Happiest Minds,IT,Bengaluru,Karnataka,"sql,data-analysis,javascript,python,research",MCA,16,5000,10
I0151,Sun Pharma,Healthcare,Kanpur,Uttar Pradesh,"healthcare,problem-solving,hr-management,agriculture",MCA,12,5000,10
I0152,NTPC,Energy,Kolkata,West Bengal,"project-management,electrical,hr-management,finance",BA,24,5000,10
I0153,Oil India,Energy,Indore,Madhya Pradesh,"problem-solving,communication,supply-chain",BSc,23,5000,12
I0154,Havells India,Manufacturing,Chennai,Tamil Nadu,"project-management,java",BBA,19,5000,11
I0155,Advanta Seeds,Agriculture,Bangalore,Karnataka,"problem-solving,agriculture",Any,22,5000,12
I0156,Infosys,IT,Jodhpur,Rajasthan,"python,c++,problem-solving",BSc,23,5000,11
I0157,Godrej & Boyce,Manufacturing,Imphal,Manipur,"teamwork,problem-solving,content-writing,digital-marketing",MBA,8,5000,12
I0158,Advanta Seeds,Agriculture,Bengaluru,Karnataka,"research,communication,teaching,cad",B.Com,22,5000,12
I0159,Wipro,IT,Kochi,Kerala,"teamwork,problem-solving",BA,6,5000,10
I0160,Medanta,Healthcare,Chennai,Tamil Nadu,"data-analysis,cad",MBA,10,5000,11
I0161,Birlasoft,IT,Bhubaneswar,Odisha,"critical-thinking,communication,c++,excel,accounting",MBA,18,5000,10
I0162,SAP Labs India,IT,Nashik,Maharashtra,"java,communication,critical-thinking,accounting,leadership",B.Com,6,5000,12
I0163,Byju's,Education,Dehradun,Uttarakhand,"communication,marketing",MBA,24,5000,10
I0164,KPIT Technologies,IT,Ahmedabad,Gujarat,"teamwork,communication,critical-thinking,agriculture",Any,13,5000,10
I0165,Vedanta,Manufacturing,Kochi,Kerala,"supply-chain,civil,excel,machine-learning",B.Com,14,5000,10
I0166,Sun Pharma,Healthcare,Hyderabad,Telangana,"research,problem-solving",MBA,19,5000,12
I0167,Zoho,IT,Delhi,Delhi,"teamwork,critical-thinking,mechanical,excel",MBA,20,5000,10
I0168,Byju's,Education,Bangalore,Karnataka,"project-management,teaching,communication",Any,19,5000,10
I0169,Aurobindo Pharma,Healthcare,Gurgaon,Haryana,"healthcare,excel,research,teamwork,digital-marketing",B.Com,9,5000,12
I0170,Wipro,IT,Mumbai,Maharashtra,"problem-solving,communication,sql,finance",B.Tech,6,5000,11
I0171,Physics Wallah,Education,Gurgaon,Haryana,"teamwork,content-writing,agriculture,python",B.Tech,10,5000,11
I0172,SAP Labs India,IT,Chennai,Tamil Nadu,"sql,c++,critical-thinking",Any,6,5000,11
I0173,Tech Mahindra,IT,Bangalore,Karnataka,"project-management,machine-learning,digital-marketing,content-writing",BSc,17,5000,12
I0174,Bajaj Finance,Finance,Gurgaon,Haryana,"problem-solving,sql,python",B.Tech,10,5000,10
I0175,SAP Labs India,IT,Kochi,Kerala,"java,civil",Any,15,5000,10
I0176,Persistent Systems,IT,Hyderabad,Telangana,"sql,critical-thinking,electrical,healthcare",MCA,18,5000,11
I0177,Glenmark,Healthcare,Kolkata,West Bengal,"research,data-analysis,content-writing,electrical",BA,16,5000,12
I0178,HCLTech,IT,Kohima,Nagaland,"java,project-management,communication,c++",Any,14,5000,11
I0179,Embibe,Education,Noida,Uttar Pradesh,"project-management,leadership",Any,24,5000,11
I0180,Sasken Technologies,IT,Delhi,Delhi,"c++,sql",BBA,14,5000,11
I0181,Torrent Power,Energy,Bangalore,Karnataka,"supply-chain,problem-solving,teamwork,digital-marketing",B.Tech,15,5000,12
I0182,TCS,IT,Kolkata,West Bengal,"java,machine-learning,python,problem-solving,project-management",MBA,12,5000,12
I0183,Zydus Lifesciences,Healthcare,Delhi,Delhi,"communication,problem-solving,research,javascript,supply-chain",B.Com,13,5000,12
I0184,Bayer CropScience India,Agriculture,Coimbatore,Tamil Nadu,"agriculture,supply-chain,graphic-design",MBA,13,5000,12
I0185,Bharat Electronics,Manufacturing,Ahmedabad,Gujarat,"leadership,project-management,electrical,cad,research",MBA,19,5000,12
I0186,Jain Irrigation,Agriculture,Guwahati,Assam,"research,data-analysis,problem-solving,leadership,accounting",Any,24,5000,10
I0187,Mphasis,IT,Jaipur,Rajasthan,"teamwork,problem-solving,teaching,project-management",BBA,20,5000,12
I0188,Tata Power Solar,Energy,Pune,Maharashtra,"project-management,supply-chain,communication,marketing,critical-thinking",B.Com,6,5000,12
I0189,Persistent Systems,IT,Coimbatore,Tamil Nadu,"java,mechanical",B.Com,12,5000,10
I0190,Tata Elxsi,IT,Hyderabad,Telangana,"data-analysis,python,communication,electrical,marketing",B.Tech,24,5000,10
I0191,Sonata Software,IT,Warangal,Telangana,"critical-thinking,javascript",MCA,10,5000,10
I0192,Cuemath,Education,Jammu,Jammu and Kashmir,"communication,content-writing,critical-thinking,data-analysis,sql",B.Tech,6,5000,12
I0193,Hatsun Agro,Agriculture,Mysuru,Karnataka,"agriculture,excel",MCA,8,5000,10
I0194,Havells India,Manufacturing,Ahmedabad,Gujarat,"problem-solving,marketing",B.Tech,24,5000,11
I0195,Tata Motors,Manufacturing,Varanasi,Uttar Pradesh,"problem-solving,supply-chain,healthcare,graphic-design",BBA,18,5000,10
I0196,NIIT Technologies,IT,Patna,Bihar,"problem-solving,machine-learning,javascript,finance",BSc,22,5000,10
I0197,Coromandel International,Agriculture,Kolkata,West Bengal,"research,communication,graphic-design",B.Tech,7,5000,10
I0198,Happiest Minds,IT,Guwahati,Assam,"sql,civil",BA,22,5000,11
I0199,Aptech,Education,Pune,Maharashtra,"project-management,machine-learning",BSc,13,5000,11
I0200,L&T Technology Services,IT,Mysuru,Karnataka,"python,java,excel",B.Com,16,5000,10
I0201,SJVN,Energy,Visakhapatnam,Andhra Pradesh,"civil,communication,research,sql",MBA,20,5000,10
I0202,Sonata Software,IT,Chennai,Tamil Nadu,"c++,finance",B.Tech,6,5000,10
I0203,Infosys,IT,Coimbatore,Tamil Nadu,"javascript,communication",BSc,12,5000,11
I0204,Amul,Agriculture,Coimbatore,Tamil Nadu,"data-analysis,project-management,communication,civil,problem-solving",B.Tech,20,5000,12
I0205,Larsen & Toubro Infotech,IT,Jaipur,Rajasthan,"c++,hr-management",MBA,15,5000,12
I0206,WhiteHat Jr,Education,Bangalore,Karnataka,"critical-thinking,leadership,teaching,agriculture,finance",BBA,11,5000,11
I0207,Godrej Agrovet,Agriculture,New Delhi,Delhi,"project-management,agriculture,java",BSc,16,5000,11
I0208,Johnson & Johnson India,Healthcare,Ahmedabad,Gujarat,"healthcare,problem-solving,content-writing",B.Tech,25,5000,11
I0209,upGrad,Education,Delhi,Delhi,"communication,research,content-writing",B.Tech,10,5000,12
I0210,Tata Elxsi,IT,Pune,Maharashtra,"c++,hr-management",B.Tech,11,5000,12
I0211,Shriram Finance,Finance,Visakhapatnam,Andhra Pradesh,"sql,excel,python,electrical",BSc,23,5000,11
I0212,Zoho,IT,Ranchi,Jharkhand,"sql,python,c++,data-analysis,content-writing",Any,12,5000,10
I0213,Apollo Hospitals,Healthcare,Srinagar,Jammu and Kashmir,"teamwork,research,excel,critical-thinking,teaching",BBA,18,5000,11
I0214,Bajaj Auto,Manufacturing,Ahmedabad,Gujarat,"supply-chain,civil,teamwork,digital-marketing,data-analysis",Any,8,5000,12
I0215,Voltas,Manufacturing,Lucknow,Uttar Pradesh,"electrical,leadership,civil,research,supply-chain",B.Tech,16,5000,10
I0216,Tata Steel,Manufacturing,Gurgaon,Haryana,"project-management,problem-solving,java,c++",BSc,12,5000,10
I0217,Byju's,Education,Indore,Madhya Pradesh,"teaching,communication,supply-chain",BSc,16,5000,12
I0218,Infosys,IT,Delhi,Delhi,"teamwork,project-management,digital-marketing",B.Tech,18,5000,12
I0219,Wipro,IT,Delhi,Delhi,"communication,machine-learning,data-analysis,healthcare,finance",B.Tech,12,5000,11
I0220,ABB India,Manufacturing,Jaipur,Rajasthan,"electrical,research",BSc,17,5000,12
I0221,Toppr,Education,Gurgaon,Haryana,"teamwork,project-management,mechanical",MBA,8,5000,11
I0222,Tata Power,Energy,Kolkata,West Bengal,"problem-solving,project-management,critical-thinking",B.Tech,8,5000,11
I0223,Lupin,Healthcare,Coimbatore,Tamil Nadu,"critical-thinking,communication,data-analysis,electrical",BBA,23,5000,12
I0224,Maruti Suzuki,Manufacturing,Chennai,Tamil Nadu,"electrical,project-management,data-analysis",Any,16,5000,11
I0225,Dr. Reddy's Laboratories,Healthcare,Indore,Madhya Pradesh,"excel,critical-thinking,marketing,sql",BA,13,5000,11
I0226,Infosys,IT,Noida,Uttar Pradesh,"teamwork,project-management,communication,research",B.Tech,9,5000,10
I0227,Cognizant India,IT,Chennai,Tamil Nadu,"critical-thinking,teamwork",B.Tech,23,5000,11
I0228,JSW Steel,Manufacturing,Gurgaon,Haryana,"supply-chain,communication,machine-learning",B.Com,13,5000,11
I0229,Bosch India,Manufacturing,Gurugram,Haryana,"cad,supply-chain,leadership,problem-solving,data-analysis",BSc,11,5000,11
I0230,Bharat Electronics,Manufacturing,Noida,Uttar Pradesh,"project-management,supply-chain,civil,c++,data-analysis",B.Com,9,5000,11
I0231,Mindtree,IT,Coimbatore,Tamil Nadu,"communication,machine-learning,javascript,teaching,accounting",B.Tech,15,5000,10
I0232,Paytm,Finance,Mysuru,Karnataka,"data-analysis,content-writing",B.Com,17,5000,10
I0233,Mphasis,IT,Pune,Maharashtra,"teamwork,cad",MCA,14,5000,11
I0234,Shriram Finance,Finance,Delhi,Delhi,"excel,accounting,java,teamwork",BBA,8,5000,10
I0235,Medanta,Healthcare,Coimbatore,Tamil Nadu,"data-analysis,problem-solving,supply-chain,machine-learning",B.Com,21,5000,12
I0236,BSE,Finance,Noida,Uttar Pradesh,"finance,graphic-design",B.Com,7,5000,11
I0237,HCLTech,IT,Gurgaon,Haryana,"project-management,teamwork",Any,21,5000,11
I0238,Cuemath,Education,Aurangabad,Maharashtra,"teaching,mechanical",BBA,21,5000,11
I0239,Happiest Minds,IT,Jaipur,Rajasthan,"teamwork,excel",B.Tech,5,5000,10
I0240,Ashok Leyland,Manufacturing,Kolkata,West Bengal,"teamwork,mechanical,communication,critical-thinking,javascript",Any,9,5000,12
I0241,Oracle India,IT,Mumbai,Maharashtra,"teamwork,python,data-analysis,sql,mechanical",B.Tech,24,5000,11
I0242,NHPC,Energy,Kochi,Kerala,"mechanical,leadership,civil,python,agriculture",B.Tech,17,5000,12
I0243,Hatsun Agro,Agriculture,Raipur,Chhattisgarh,"agriculture,project-management,content-writing",BSc,13,5000,10
I0244,NIIT,Education,New Delhi,Delhi,"content-writing,teaching,cad,leadership",B.Tech,17,5000,11
I0245,Coromandel International,Agriculture,Gurgaon,Haryana,"project-management,hr-management",Any,15,5000,11
I0246,BSE,Finance,Bangalore,Karnataka,"problem-solving,data-analysis,critical-thinking,javascript",BBA,17,5000,12
I0247,Rallis India,Agriculture,Mumbai,Maharashtra,"supply-chain,research,agriculture",B.Tech,14,5000,12
I0248,Great Learning,Education,Kolkata,West Bengal,"content-writing,critical-thinking,machine-learning",B.Com,21,5000,10
